 ,Label,Area,X,Y,XM,YM,Major,Minor,Angle,Circ.,Slice,AR,Round,Solidity
1,Step2 test1 3.2x0.63x-1.avi:0.12 s,114,1101.781,893.053,1101.781,893.053,13.098,11.082,138.995,0.759,3,1.182,0.846,0.826
2,Step2 test1 3.2x0.63x-1.avi:0.12 s,134,997.299,1364.037,997.299,1364.037,13.53,12.61,11.396,0.794,3,1.073,0.932,0.859
3,Step2 test1 3.2x0.63x-1.avi:0.12 s,154,725.143,1510.299,725.143,1510.299,16.524,11.866,14.155,0.645,3,1.393,0.718,0.808
4,Step2 test1 3.2x0.63x-1.avi:0.12 s,100,995.53,1523.21,995.53,1523.21,13.043,9.762,115.087,0.896,3,1.336,0.748,0.901
5,Step2 test1 3.2x0.63x-1.avi:0.12 s,129,405.547,1734.492,405.547,1734.492,15.839,10.37,156.857,0.713,3,1.527,0.655,0.857
6,Step2 test1 3.2x0.63x-1.avi:0.16 s,114,772.982,877.526,772.982,877.526,14.969,9.697,21.072,0.858,4,1.544,0.648,0.894
7,Step2 test1 3.2x0.63x-1.avi:0.16 s,158,1102.665,890.063,1102.665,890.063,15.377,13.083,79.788,0.852,4,1.175,0.851,0.913
8,Step2 test1 3.2x0.63x-1.avi:0.16 s,111,1701.68,1222.5,1701.68,1222.5,14.144,9.992,148.297,0.835,4,1.415,0.707,0.917
9,Step2 test1 3.2x0.63x-1.avi:0.16 s,175,993.546,1366.38,993.546,1366.38,16.895,13.188,31.466,0.912,4,1.281,0.781,0.919
10,Step2 test1 3.2x0.63x-1.avi:0.16 s,121,1735.748,1414.087,1735.748,1414.087,14.265,10.8,154.55,0.932,4,1.321,0.757,0.949
11,Step2 test1 3.2x0.63x-1.avi:0.16 s,208,721.375,1513.24,721.375,1513.24,21.17,12.51,33.006,0.804,4,1.692,0.591,0.906
12,Step2 test1 3.2x0.63x-1.avi:0.16 s,116,998.267,1527.25,998.267,1527.25,15.105,9.778,120.544,0.838,4,1.545,0.647,0.892
13,Step2 test1 3.2x0.63x-1.avi:0.16 s,188,409.91,1734.84,409.91,1734.84,19.231,12.447,173.108,0.845,4,1.545,0.647,0.922
14,Step2 test1 3.2x0.63x-1.avi:0.20 s,115,778.37,876.761,778.37,876.761,15.718,9.316,14.829,0.851,5,1.687,0.593,0.906
15,Step2 test1 3.2x0.63x-1.avi:0.20 s,174,1104.414,885.575,1104.414,885.575,16.652,13.304,75.362,0.81,5,1.252,0.799,0.899
16,Step2 test1 3.2x0.63x-1.avi:0.20 s,121,1698.93,1221.946,1698.93,1221.946,14.459,10.655,154.896,0.91,5,1.357,0.737,0.91
17,Step2 test1 3.2x0.63x-1.avi:0.20 s,175,988.706,1368.866,988.706,1368.866,17.905,12.444,26.537,0.861,5,1.439,0.695,0.914
18,Step2 test1 3.2x0.63x-1.avi:0.20 s,129,1731.756,1413.205,1731.756,1413.205,15.293,10.74,159.63,0.882,5,1.424,0.702,0.931
19,Step2 test1 3.2x0.63x-1.avi:0.20 s,217,716.316,1517.21,716.316,1517.21,22.342,12.367,31.462,0.829,5,1.807,0.554,0.921
20,Step2 test1 3.2x0.63x-1.avi:0.20 s,120,1001.125,1532.317,1001.125,1532.317,15.122,10.104,119.86,0.843,5,1.497,0.668,0.899
21,Step2 test1 3.2x0.63x-1.avi:0.20 s,198,415.813,1734.47,415.813,1734.47,20.537,12.275,175.757,0.788,5,1.673,0.598,0.91
