 ,Trajectory,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore
1,1,1,718.434,1384.234,0,36.467,5.277,35.503,278.523,2437.915,0
2,1,2,720.105,1384.871,0,58.017,4.907,30.323,216.962,1723.601,0
3,1,3,721.642,1384.974,0,74.109,4.684,27.607,191.48,1506.908,0
4,1,4,722.158,1384.732,0,78.737,4.509,25.155,162.858,1185.864,0
5,1,5,721.934,1384.287,0,80.099,4.474,24.726,158.639,1145.689,0
6,1,6,721.828,1383.652,0,88.382,4.643,25.91,162.522,1109.433,0
7,1,7,720.008,1380.777,0,76.951,4.244,21.55,122.351,752.915,0
8,1,8,718.403,1379.968,0,70.68,4.281,22.082,127.659,798.902,0
9,1,10,703.979,1375.957,0,55.324,3.918,20.188,129.455,989.73,0
10,1,11,701.785,1374.703,0,80.511,4.235,21.28,118.694,712.559,0
11,1,12,700.304,1373.251,0,98.161,4.632,25.559,157.747,1056.727,2.853
12,1,13,698.482,1371.984,0,105.862,4.783,27.102,170.647,1158.474,1.13E-10
13,1,14,697.044,1370.812,0,109.763,4.81,27.481,175.598,1219.861,0
14,1,15,696.422,1369.862,0,106.281,4.703,26.195,162.797,1098.136,1.083
15,1,16,696.167,1369.187,0,98.108,4.552,24.674,149.696,987.021,5.476
16,1,17,696.985,1369.04,0,100.562,4.575,24.755,148.815,964.774,5.80E-04
17,1,18,698.122,1369.547,0,106.176,4.593,24.638,145.373,917.626,1.07E-20
18,1,19,699.776,1370.937,0,107.489,4.597,24.573,143.865,897.523,9.65E-13
19,1,20,700.605,1372.784,0,101.331,4.507,23.68,136.646,842.165,1.05E-25
20,1,21,701.482,1375.12,0,91.659,4.372,22.478,127.922,783.458,4.54E-30
21,1,22,702.63,1377.598,0,71.363,4.131,21.06,129.707,1022.593,0
22,1,27,715.017,1394.6,0,66.464,5.268,47.816,649.341,10667.785,0
23,1,28,717.156,1394.478,0,73.241,4.569,32.774,376.287,5848.681,0
24,1,29,718.483,1394.552,0,75.764,4.356,27.655,274.286,3885.685,0
25,1,30,719.058,1394.625,0,80.122,4.285,24.925,212.231,2638.797,0
26,1,31,719.755,1394.68,0,83.889,4.401,26.172,225.01,2794.293,0
27,1,32,720.175,1394.362,0,87.091,4.406,25.228,197.268,2198.602,0
28,1,33,721.436,1393.826,0,90.835,4.463,25.096,182.825,1839.667,1.44E-20
29,1,34,723.52,1392.764,0,93.539,4.493,24.632,163.64,1400.628,2.87E-26
30,1,35,725.778,1391.415,0,97.785,4.539,24.65,154.95,1160.602,11.796
31,1,36,727.286,1389.598,0,101.092,4.674,26.053,163.082,1114.072,2.75E-11
32,1,37,727.8,1388.966,0,101.48,4.771,27.429,178.332,1269.893,1.19E-25
33,1,38,729.4,1387.082,0,103.175,4.815,27.626,177.531,1240.4,5.53E-33
34,1,39,730.679,1385.566,0,102.794,4.88,28.264,183.072,1288.744,6.02E-13
35,1,40,731.845,1385.323,0,107.175,4.924,28.461,182.451,1261.966,5.02E-21
36,1,41,732.877,1385.777,0,103.031,4.838,27.446,172.563,1170.392,2.77E-08
37,1,42,735.189,1385.832,0,101.578,4.897,28.646,188.323,1350.829,3.87E-15
38,1,43,738.205,1385.26,0,102.473,4.869,28.578,189.516,1375.637,5.86E-11
39,1,44,741.402,1384.628,0,107.427,4.919,28.921,190.818,1370.596,2.98E-13
40,1,45,744.398,1383.798,0,110.346,5.051,30.804,212.47,1604.303,0
41,1,46,747.311,1383.134,0,107.618,5.092,31.702,225.801,1778.718,0
42,1,47,750.544,1382.177,0,109.651,5.166,32.536,234.063,1863.24,0
43,1,48,753.414,1382.087,0,111.061,5.291,34.315,255.371,2108.695,0
44,1,49,757.121,1381.809,0,111.045,5.432,37.253,301.981,2784.439,0
45,1,50,759.394,1382.005,0,109.261,5.511,38.834,326.371,3135.997,0
46,1,52,765.627,1382.617,0,111.826,6.586,59.05,644.82,8003.261,0
47,1,53,769.59,1383.229,0,111.187,6.989,71.552,929.298,13784.176,0
48,1,54,776.219,1384.281,0,95.618,4.654,26.86,192.151,1811.805,4.79E-14
49,1,55,777.69,1385.866,0,94.56,4.576,24.896,151.175,995.762,5.087
50,1,56,778.788,1386.98,0,95.406,4.604,25.217,154.354,1025.145,0.013
51,1,57,781.559,1388.231,0,94.964,4.584,25.009,152.302,1003.837,0.004
52,1,58,783.986,1390.857,0,96.066,4.621,25.57,158.84,1073.958,9.403
53,1,59,785.732,1393.161,0,93.773,4.559,24.744,149.846,981.496,0.033
54,1,60,788.119,1396.361,0,93.364,4.538,24.521,147.974,967.307,4.581
55,1,61,790.178,1399.942,0,92.541,4.547,24.699,150.224,991.542,3.49E-08
56,1,62,791.091,1401.458,0,89.936,4.537,24.752,151.824,1013.618,3.01E-28
57,1,63,792.214,1403.329,0,92.605,4.563,24.798,150.392,986.778,0
58,1,64,794.183,1407.066,0,89.899,4.522,24.405,147.373,965.369,0
59,1,65,795.657,1410.574,0,87.27,4.494,24.139,145.102,945.607,0
60,1,66,796.612,1413.341,0,83.717,4.511,24.48,149.635,998.698,0
61,1,67,796.278,1413.669,0,86.223,4.526,24.61,150.866,1012.935,0
62,1,68,795.405,1413.032,0,88.688,4.532,24.612,150.187,998.43,0
63,1,69,794.367,1412.365,0,92.039,4.527,24.305,145.323,939.258,2.78E-13
64,1,70,793.377,1412.698,0,95.696,4.595,25.069,152.433,1002.344,5.18E-06
65,1,71,792.413,1413.077,0,98.156,4.69,26.063,161.019,1073.393,5.31E-08
66,1,72,790.615,1413.498,0,98.458,4.68,26.102,162.582,1096.486,2.33E-12
67,1,73,790.298,1412.792,0,98.317,4.648,25.752,159.474,1069.888,8.88E-06
68,1,74,790.397,1412.595,0,96.462,4.645,25.772,160.006,1077.307,2.23E-06
69,1,75,788.833,1412.406,0,97.502,4.658,25.885,160.679,1079.726,2.19E-18
70,1,76,788.213,1412.067,0,97.164,4.665,26.029,162.57,1100.458,11.418
71,1,77,786.06,1411.202,0,98.086,4.667,26.09,163.748,1118.57,0.006
72,1,78,781.504,1409.904,0,97.778,4.659,25.995,162.436,1099.902,4.06E-04
73,1,79,778.859,1409.327,0,98.75,4.668,25.912,160.187,1069.073,5.99E-09
74,1,80,776.661,1408.144,0,97.677,4.651,25.763,159.249,1065.295,1.323
75,1,81,775.561,1407.171,0,95.3,4.598,25.225,154.915,1033.734,4.36E-04
76,1,82,774.742,1406.41,0,97.238,4.678,26.205,164.806,1128.478,3.43E-17
77,1,83,772.578,1404.141,0,95.897,4.708,26.637,169.954,1188.031,0.127
78,1,84,771.41,1401.82,0,96.139,4.729,26.593,166.942,1135.641,1.04E-14
79,1,85,770.295,1399.69,0,86.264,4.413,22.995,133.459,841.488,0
80,1,86,768.927,1396.72,0,80.275,4.979,37.122,417.961,6349.602,0
81,1,87,767.405,1393.952,0,90.09,6.383,61.826,824.771,13177.67,0
82,1,88,767.556,1393.032,0,95.967,6.459,61.238,784.421,12044.797,0
83,1,89,766.632,1391.128,0,91.145,6.566,60.907,734.877,10473.998,0
84,1,90,765.319,1389.263,0,91.946,6.512,58.6,664.201,8770.906,0
85,1,91,764.581,1387.953,0,94.851,6.494,57.502,623.475,7764.127,0
86,1,92,764.613,1387.389,0,98.869,6.266,52.705,545.521,6569.676,0
87,1,93,764.061,1386.633,0,105.712,6.095,49.289,486.675,5579.004,0
88,1,94,763.498,1386.554,0,103.867,5.737,41.646,357.469,3540.284,0
89,1,95,763.076,1386.087,0,106.437,5.631,39.795,334.305,3295.212,0
90,1,96,762.207,1385.57,0,110.368,5.419,36.053,279.735,2516.756,0
91,1,97,762.638,1385.68,0,109.514,5.496,36.918,287.387,2576.874,0
92,1,98,762.839,1385.76,0,109.478,5.575,38.017,300.841,2747.945,0
93,1,99,762.45,1385.4,0,108.361,5.56,38.394,314.144,3035.677,0
94,1,100,762.198,1385.425,0,109.588,5.658,40.077,336.939,3318.379,0
95,1,101,762.64,1384.904,0,110.679,5.774,41.91,363.185,3715.028,0
96,1,106,761.439,1379.344,0,120.927,7.002,67.664,801.606,10746.809,0
97,1,107,761.256,1377.837,0,119.757,7.079,73.027,959.379,14442.005,0
98,1,108,761.131,1374.068,0,108.541,6.027,56.017,734.95,11752.284,0
99,1,109,761.315,1368.23,0,97.915,4.707,27.684,202.926,1951.786,1.32E-13
100,1,110,760.98,1363.613,0,95.455,4.602,25.267,155.018,1029.944,3.59E-04
101,1,111,760.817,1359.248,0,98.523,4.693,26.413,167.339,1157.786,2.59E-13
102,1,112,760.837,1356.452,0,100.577,4.822,28.474,194.274,1491.966,3.55E-04
103,1,113,761.067,1353.184,0,97.03,4.661,26.203,168.514,1222.562,1.35E-12
104,1,114,761.563,1349.504,0,98.767,4.676,26.88,186.22,1614.669,0.012
105,1,115,762.444,1344.301,0,95.587,4.553,24.659,149.167,978.023,5.88E-07
106,1,116,762.985,1342.964,0,99.069,4.642,25.651,158.071,1053.13,6.28E-10
107,1,117,763.955,1341.07,0,101.306,4.678,26.069,162.296,1094.348,0
108,1,118,766.061,1337.083,0,100.27,4.65,25.695,158.578,1062.089,2.00E-04
109,1,119,768.708,1332.663,0,98.089,4.61,25.483,160.958,1161.498,1.63E-05
110,1,120,771.898,1328.949,0,96.809,4.637,25.712,160.56,1101.107,1.05E-15
111,1,121,775.486,1325.482,0,101.652,4.75,26.578,164.944,1103.788,2.38E-44
112,1,122,779.022,1322.393,0,96.321,4.681,25.821,158.198,1048.324,1.49E-09
113,1,123,782.911,1319.23,0,100.566,4.64,25.38,153.791,1002.58,5.23E-09
114,1,124,786.661,1316.256,0,102.361,4.641,25.452,155.227,1022.872,0
115,1,125,790.059,1313.437,0,100.292,4.661,25.838,160.726,1093.449,3.24E-26
116,1,126,793.832,1310.468,0,101.531,4.652,25.535,156.532,1052.757,0.026
117,2,1,879.261,766.345,0,39.462,3.655,16.435,83.884,467.844,4.78E-21
118,2,2,878.281,769.389,0,73.014,4.02,19.337,103.956,604.909,1.40E-14
119,2,3,877.484,773.161,0,86.973,4.337,22.43,129.287,804.276,5.78E-05
120,2,4,876.664,778.405,0,91.754,4.519,24.436,147.965,971.457,1.20E-25
121,2,5,876.312,783.722,0,98.756,4.608,25.16,152.878,1003.311,2.20E-05
122,2,6,875.894,789.072,0,96.475,4.541,24.495,147.257,956.897,3.36E-07
123,2,7,875.763,794.561,0,97.771,4.542,24.493,147.118,954.715,2.18E-05
124,2,8,875.817,799.934,0,98.367,4.574,24.904,152.367,1028.75,3.74E-08
125,2,9,876.366,805.605,0,101.984,4.547,24.45,146.235,944.893,2.36E-04
126,2,10,876.786,810.732,0,99.471,4.47,23.654,139.435,889.634,1.57E-11
127,2,11,877.405,816.271,0,95.862,4.45,23.518,138.609,884.092,1.31E-12
128,2,12,878.06,821.56,0,91.638,4.43,23.42,138.424,886.721,0
129,2,13,878.52,827.243,0,92.397,4.468,23.867,142.77,926.227,4.37E-17
130,2,14,879.388,832.994,0,92.498,4.498,24.395,149.522,1005.207,0
131,2,15,879.978,839.057,0,95.471,4.582,25.143,154.46,1028.365,4.70E-06
132,2,16,880.245,844.667,0,94.554,4.516,24.427,148.319,979.921,4.48E-27
133,2,17,880.5,850.778,0,93.741,4.491,24.225,147.712,991.956,2.067
134,2,18,880.717,856.466,0,96.16,4.607,25.56,163.034,1202.425,3.32E-18
135,2,19,880.705,862.551,0,98.584,4.61,25.375,156.403,1046.815,0
136,2,20,880.643,868.603,0,98.118,4.578,24.996,152.611,1009.715,1.05E-25
137,2,21,880.942,874.306,0,96.75,4.608,25.415,157.048,1053.118,8.48E-10
138,2,22,881.175,880.3,0,95.679,4.554,24.846,151.987,1009.258,1.87E-14
139,2,23,881.35,886.214,0,97.334,4.594,25.271,155.69,1039.953,5.927
140,2,24,881.66,892.131,0,100.067,4.607,25.36,156.378,1046.546,8.12E-06
141,2,25,882.118,898.135,0,100.242,4.54,24.489,147.42,961.316,2.68E-04
142,2,26,882.62,903.754,0,98.05,4.491,24.049,144.312,941.595,5.64E-06
143,2,27,883.078,909.696,0,95.734,4.517,24.42,148.27,980.714,0
144,2,28,883.708,915.396,0,91.987,4.466,23.89,143.423,936.234,2.08E-15
145,2,29,884.563,921.162,0,91.989,4.471,23.983,144.42,945.158,0
146,2,30,885.005,927.339,0,93.074,4.733,28.94,226.032,2266.139,0
147,2,31,885.318,932.876,0,96.533,4.7,26.95,177.449,1303.966,3.57E-25
148,2,32,885.355,938.397,0,94.393,4.523,24.462,148.074,971.915,1.19E-39
149,2,33,885.171,943.977,0,93.88,4.514,24.452,149.124,992.911,1.44E-20
150,2,34,884.618,949.987,0,98.181,4.575,24.978,152.611,1011.586,0.016
151,2,35,883.867,955.605,0,100.428,4.584,24.891,150.517,984.145,8.10E-15
152,2,36,882.864,961.405,0,97.917,4.582,24.996,152.259,1004.123,0.036
153,2,37,882.188,967.341,0,98.052,4.632,25.65,158.929,1067.205,9.195
154,2,38,881.936,972.826,0,99.579,4.614,25.384,156.774,1062.416,0.186
155,2,39,881.488,978.222,0,98.647,4.567,24.735,149.085,969.902,7.54E-22
